,,Mean,Std
PCA+Linear,SQUARED_ERROR,16.002295096171984,2.216143331373043
PCA+Linear,R2,0.08244660177070248,0.02951660222286473
PCA+Linear,ABSOLUTE_ERROR,9.95960061705596,0.7626641959780636
SVR (RBF),SQUARED_ERROR,16.225764986873454,3.175518481369614
SVR (RBF),R2,0.06492957674949248,0.05114395960872425
SVR (RBF),ABSOLUTE_ERROR,7.621834848937764,1.4101866757192547
XGBoost,SQUARED_ERROR,12.121786049002676,2.0553996019808953
XGBoost,R2,0.43110304214313044,0.13926883182490285
XGBoost,ABSOLUTE_ERROR,6.084645887131154,1.116542187538651
