,RMSE,MAE,R2,MSE
OLS,9.2627537986087,7.135160143269764,-0.6878753502185619,85.79860793363987
Ridge,8.80786067470215,6.88717360640604,-0.5261632855853282,77.57840966496462
Lasso,8.702179413605744,6.764908938003593,-0.4897596082211615,75.72792654658363
ElasticNet,9.013103098792202,7.096015448950088,-0.5981178671503247,81.23602746945761
PCA_90%_Linear,8.585697579996102,6.722697253893557,-0.4501445780038973,73.71420293515094
PCA_95%_Linear,8.271403502880013,6.433101484418346,-0.345917822899946,68.41611590745575
PCA_99%_Linear,9.137873073699508,7.357494697883503,-0.6426701747773371,83.50072431104249
SVR_rbf_C0.1_gamma0.1,7.657035039787506,5.035273325125238,-0.15340385394620926,58.63018560053366
SVR_rbf_C0.1_gammascale,7.640667719303003,5.031885010922296,-0.14847819958455388,58.379803196798946
SVR_rbf_C0.1_gammaauto,7.640667719303003,5.031885010922296,-0.14847819958455388,58.379803196798946
SVR_rbf_C1.0_gamma0.1,7.667574133185867,5.0115606582088805,-0.15658111419982457,58.791693087901
SVR_rbf_C1.0_gammascale,7.620419303679423,4.942235825374162,-0.1423991365772419,58.070790363889984
SVR_rbf_C1.0_gammaauto,7.620419303679423,4.942235825374162,-0.1423991365772419,58.070790363889984
SVR_rbf_C10.0_gamma0.1,7.4117222850408515,4.646643081775936,-0.0806832130923445,54.933627230571176
SVR_rbf_C10.0_gammascale,7.255131327577157,4.40506659246557,-0.03550138839693551,52.636930580391486
SVR_rbf_C10.0_gammaauto,7.255131327577157,4.40506659246557,-0.03550138839693551,52.636930580391486
SVR_poly_deg2,7.762366140725718,5.106222937946536,-0.18535483963986965,60.254328102685086
RandomForest,5.7313123224568105,3.7743850943396224,0.35379802599128496,32.84794093754528
GradientBoosting,7.384601792202685,5.141302979674829,-0.07278895099216687,54.5323436294031
BayesianRidge,8.364364990326946,6.410406951429756,-0.3763411047813232,69.96260169140709
