,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
EA or EA effec (MN),0.3205064885113614,-0.14020452468035285,0.16787579705998457,0.013212062483763847,-0.08429428388836964,-0.04875651222583897,0.0849416628110973,-0.013752145006746107
A bot-Cm2,0.2667266448681195,-0.1467502784032791,0.2808984350493397,0.0025745544209498953,-0.013528045405844097,-0.1132514094906904,0.03901666988698923,0.01162091555552941
Perimeter-Cm,0.34048261812420055,-0.11451674588833242,0.07628728172641977,-0.016574090244743666,-0.06374181621468483,-0.024556336035919474,0.04620240229393302,-0.13765299142600496
L-m,0.24291950620753408,-0.16678670135525317,0.013756193265293228,-0.16330120831048683,0.40261023584901795,0.2118268599768529,-0.024052399192652816,-0.08036939402449066
L efec.-m,0.14672912126700066,-0.12463721218472774,0.003338187909512734,-0.2576467790960264,0.5720651621491634,0.2534977382461665,-0.054869256074470775,0.02539156822120286
qc1-Mpa,0.047037325698794895,0.1013049314908335,0.08454289284234844,0.5719597780747522,0.12336562847848472,0.08995177594665471,0.16173680286567804,0.07035872369079554
fs1-Kpa,-0.1525553416659081,0.1707579225871526,0.3051942870425857,0.17592759881817155,-0.03288732983930948,0.11418122228014392,0.2782816388352196,-0.24430612095165904
qc2-Mpa,0.13235797721267975,0.2323655595902655,0.029759194189435345,0.44951871032046264,0.1320389037888862,-0.10661706143893628,0.06971548370450233,0.16415901956263484
fs2-Kpa,0.03166509776629544,0.37850052337822654,0.18404553299090035,-0.19451333734704312,0.08886485787889054,-0.010363703202815863,0.19768687575805285,-0.031033505677137217
qc3-Mpa,0.16132350216453334,0.33494762172989345,-0.03730757085599774,0.08611682238602326,0.18410737126884671,-0.01045788003226464,-0.2887967129868238,-0.08303289603992862
fs3-kpa,0.04047315564688978,0.3571040816302084,0.09731886511870698,-0.28008469676132597,0.06851569194159084,0.14360677641406192,0.25661711152924954,-0.040740282464914325
qc4-Mpa,0.22962095207878314,0.27193354029311884,-0.07462825621623513,0.22130482063076573,0.08519067199940679,-0.07292041396558209,-0.1429833983506889,-0.0033867487946934154
fs4-Kpa,-0.04362359441970147,0.3431820360245533,-0.009934102959503316,-0.1972623546296727,-0.04585700655287488,0.19011607031393532,0.4198296310337021,-0.021179502090984112
qc5-Mpa,0.26438744891577654,0.25240626737931143,-0.09412524658984148,-0.003977632899652529,-0.07201169436205064,-0.09348700321138047,-0.29020513998900105,-0.047332251727028075
fs5-Kpa,0.05810441399578399,0.2832404895897075,0.016228725716875617,-0.30248884026467343,-0.161706397908541,-0.3240109134431921,-0.12945062708939165,0.26359543252280715
qc-bot-Mpa,0.27044851330805214,0.2149054569734705,-0.09781887656811893,-0.09925355988479771,-0.019316416090014953,-0.0451298868665424,-0.24790705415783593,-0.14771328853829985
P-KN,0.17911273061436772,-0.06995500590083367,0.21651423082572507,-0.05245572626678165,0.039661794745320174,-0.040719763765835255,0.135200423175399,0.8148469305600211
Type of test_CRP,0.3069181254332462,-0.1416444013901937,0.0684705933678329,0.02819070946481589,-0.16241625727110165,0.015857813918695392,0.07984271755962914,-0.17420165264097034
Type of pile_Composite,-0.04242644838240149,-0.03732154053530975,-0.08693266935324022,0.08385545543944595,0.5398065822205045,-0.4515668048848292,0.23066669000207699,-0.10573287894928603
Type of pile_Steel,-0.056181921864971826,0.10768561931691041,-0.29643498086539244,0.1376350733650625,0.025158103260862607,0.6022123545756194,-0.16286563418738972,0.24932979811735162
Type of instalation_Bored,-0.09463160830578697,0.02699051837228315,0.5307102338705594,0.022088288477324827,0.03093728644825077,0.13322649377575274,-0.28222983785094985,-0.04616959096132155
Type of instalation_Driven,0.09463160830578694,-0.026990518372283133,-0.5307102338705594,-0.02208828847732485,-0.030937286448250823,-0.13322649377575274,0.2822298378509499,0.0461695909613216
End of Pile_Closed,-0.3223349228555116,0.048512949525275184,0.05620305767397685,-0.038001967923678624,0.1675031217658594,-0.17396129259337667,-0.18154038273438977,0.057403183288539765
End of Pile_Open,0.3223349228555116,-0.04851294952527518,-0.05620305767397685,0.038001967923678624,-0.1675031217658594,0.1739612925933767,0.18154038273438977,-0.05740318328853972
